mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53402069,12,12101,2021,05,0,0,660
53402069,12,12101,2021,05,0,1,301
53402069,12,12101,2021,05,0,2,465
53402069,12,12101,2021,05,1,0,901
53402069,12,12101,2021,05,1,1,222
53402069,12,12101,2021,05,1,2,554
53402069,12,12101,2021,05,2,0,800
53402069,12,12101,2021,05,2,1,255
53402069,12,12101,2021,05,2,2,517
53402077,12,12101,2021,05,0,0,56
53402077,12,12101,2021,05,0,2,21
53402077,12,12101,2021,05,1,0,146
53402077,12,12101,2021,05,1,2,63
53402077,12,12101,2021,05,2,0,108
53402077,12,12101,2021,05,2,2,45
53402078,12,12101,2021,05,0,0,97
53402078,12,12101,2021,05,0,1,44
53402078,12,12101,2021,05,0,2,69
53402078,12,12101,2021,05,1,0,498
53402078,12,12101,2021,05,1,1,59
53402078,12,12101,2021,05,1,2,219
53402078,12,12101,2021,05,2,0,330
53402078,12,12101,2021,05,2,1,52
53402078,12,12101,2021,05,2,2,156
53402079,12,12101,2021,05,0,0,290
53402079,12,12101,2021,05,0,1,121
53402079,12,12101,2021,05,0,2,197
53402079,12,12101,2021,05,1,0,1491
53402079,12,12101,2021,05,1,1,249
53402079,12,12101,2021,05,1,2,783
53402079,12,12101,2021,05,2,0,987
53402079,12,12101,2021,05,2,1,195
53402079,12,12101,2021,05,2,2,537
53402086,12,12101,2021,05,0,0,36
53402086,12,12101,2021,05,0,1,30
53402086,12,12101,2021,05,0,2,21
53402086,12,12101,2021,05,2,0,20
53402086,12,12101,2021,05,2,1,12
53402086,12,12101,2021,05,2,2,13
53402087,12,12101,2021,05,0,0,88
53402087,12,12101,2021,05,0,1,28
53402087,12,12101,2021,05,0,2,54
53402087,12,12101,2021,05,1,0,361
53402087,12,12101,2021,05,1,1,19
53402087,12,12101,2021,05,1,2,177
53402087,12,12101,2021,05,2,0,247
53402087,12,12101,2021,05,2,1,23
53402087,12,12101,2021,05,2,2,125
53402088,12,12101,2021,05,0,0,138
53402088,12,12101,2021,05,0,1,46
53402088,12,12101,2021,05,0,2,99
53402088,12,12101,2021,05,1,0,411
53402088,12,12101,2021,05,1,1,52
53402088,12,12101,2021,05,1,2,212
53402088,12,12101,2021,05,2,0,297
53402088,12,12101,2021,05,2,1,50
53402088,12,12101,2021,05,2,2,165
53402089,12,12101,2021,05,0,0,2302
53402089,12,12101,2021,05,0,1,281
53402089,12,12101,2021,05,0,2,1044
53402089,12,12101,2021,05,1,0,389
53402089,12,12101,2021,05,1,1,44
53402089,12,12101,2021,05,1,2,203
53402089,12,12101,2021,05,2,0,1191
53402089,12,12101,2021,05,2,1,144
53402089,12,12101,2021,05,2,2,555
53402096,12,12101,2021,05,1,0,11
53402097,12,12101,2021,05,0,0,203
53402097,12,12101,2021,05,0,1,282
53402097,12,12101,2021,05,0,2,219
53402097,12,12101,2021,05,1,0,1381
53402097,12,12101,2021,05,1,1,304
53402097,12,12101,2021,05,1,2,775
53402097,12,12101,2021,05,2,0,887
53402097,12,12101,2021,05,2,1,295
53402097,12,12101,2021,05,2,2,542
53402098,12,12101,2021,05,0,0,108
53402098,12,12101,2021,05,0,1,145
53402098,12,12101,2021,05,0,2,111
53402098,12,12101,2021,05,1,0,217
53402098,12,12101,2021,05,1,1,86
53402098,12,12101,2021,05,1,2,150
53402098,12,12101,2021,05,2,0,172
53402098,12,12101,2021,05,2,1,111
53402098,12,12101,2021,05,2,2,134
53402099,12,12101,2021,05,0,0,6766
53402099,12,12101,2021,05,0,1,1295
53402099,12,12101,2021,05,0,2,3345
53402099,12,12101,2021,05,1,0,3017
53402099,12,12101,2021,05,1,1,440
53402099,12,12101,2021,05,1,2,1685
53402099,12,12101,2021,05,2,0,4589
53402099,12,12101,2021,05,2,1,798
53402099,12,12101,2021,05,2,2,2381
53402150,12,12101,2021,05,0,0,5572
53402150,12,12101,2021,05,0,1,7649
53402150,12,12101,2021,05,0,2,6869
53402150,12,12101,2021,05,1,0,4636
53402150,12,12101,2021,05,1,1,8050
53402150,12,12101,2021,05,1,2,6474
53402150,12,12101,2021,05,2,0,5028
53402150,12,12101,2021,05,2,1,7882
53402150,12,12101,2021,05,2,2,6640
53402160,12,12101,2021,05,0,0,6079
53402160,12,12101,2021,05,0,1,6632
53402160,12,12101,2021,05,0,2,6493
53402160,12,12101,2021,05,1,0,4947
53402160,12,12101,2021,05,1,1,6753
53402160,12,12101,2021,05,1,2,6158
53402160,12,12101,2021,05,2,0,5422
53402160,12,12101,2021,05,2,1,6702
53402160,12,12101,2021,05,2,2,6299
53402161,12,12101,2021,05,0,0,1621
53402161,12,12101,2021,05,0,1,1272
53402161,12,12101,2021,05,0,2,1449
53402161,12,12101,2021,05,1,0,1308
53402161,12,12101,2021,05,1,1,944
53402161,12,12101,2021,05,1,2,1218
53402161,12,12101,2021,05,2,0,1439
53402161,12,12101,2021,05,2,1,1082
53402161,12,12101,2021,05,2,2,1315
53402162,12,12101,2021,05,0,0,3205
53402162,12,12101,2021,05,0,1,2321
53402162,12,12101,2021,05,0,2,2788
53402162,12,12101,2021,05,1,0,2139
53402162,12,12101,2021,05,1,1,2282
53402162,12,12101,2021,05,1,2,2329
53402162,12,12101,2021,05,2,0,2586
53402162,12,12101,2021,05,2,1,2298
53402162,12,12101,2021,05,2,2,2521
53402170,12,12101,2021,05,0,0,3270
53402170,12,12101,2021,05,0,1,3909
53402170,12,12101,2021,05,0,2,3689
53402170,12,12101,2021,05,1,0,3322
53402170,12,12101,2021,05,1,1,3869
53402170,12,12101,2021,05,1,2,3557
53402170,12,12101,2021,05,2,0,3300
53402170,12,12101,2021,05,2,1,3886
53402170,12,12101,2021,05,2,2,3612
53402171,12,12101,2021,05,0,0,2919
53402171,12,12101,2021,05,0,1,3251
53402171,12,12101,2021,05,0,2,3031
53402171,12,12101,2021,05,1,0,2829
53402171,12,12101,2021,05,1,1,3576
53402171,12,12101,2021,05,1,2,3268
53402171,12,12101,2021,05,2,0,2867
53402171,12,12101,2021,05,2,1,3440
53402171,12,12101,2021,05,2,2,3168
53402172,12,12101,2021,05,0,0,3953
53402172,12,12101,2021,05,0,1,4185
53402172,12,12101,2021,05,0,2,4054
53402172,12,12101,2021,05,1,0,3531
53402172,12,12101,2021,05,1,1,4071
53402172,12,12101,2021,05,1,2,3751
53402172,12,12101,2021,05,2,0,3708
53402172,12,12101,2021,05,2,1,4119
53402172,12,12101,2021,05,2,2,3878
53402180,12,12101,2021,05,0,0,5668
53402180,12,12101,2021,05,0,1,6066
53402180,12,12101,2021,05,0,2,5981
53402180,12,12101,2021,05,1,0,4313
53402180,12,12101,2021,05,1,1,6392
53402180,12,12101,2021,05,1,2,5406
53402180,12,12101,2021,05,2,0,4882
53402180,12,12101,2021,05,2,1,6255
53402180,12,12101,2021,05,2,2,5647
53402181,12,12101,2021,05,0,0,2360
53402181,12,12101,2021,05,0,1,2287
53402181,12,12101,2021,05,0,2,2357
53402181,12,12101,2021,05,1,0,2565
53402181,12,12101,2021,05,1,1,2217
53402181,12,12101,2021,05,1,2,2441
53402181,12,12101,2021,05,2,0,2479
53402181,12,12101,2021,05,2,1,2246
